city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Bandarbeyla,SO,64814,9.49,50.81,83.81,100,0,6.6,1524317152
Betong,TH,1611635,5.77,101.07,75.98,96,36,0.6,1524317152
Epe,NG,2343252,6.59,3.98,84.8,94,44,9.95,1524317152
Mizan Teferi,ET,330534,6.99,35.58,71.03,88,64,2.73,1524317212
Iracoubo,GF,3381428,5.48,-53.21,75.53,98,92,4.52,1524317212
Kuah,MY,1222396,6.33,99.84,86.0,79,75,2.24,1524312000
Cabo San Lucas,MX,3985710,22.89,-109.91,68.0,59,40,9.17,1524314700
Makakilo City,US,5850554,21.35,-158.09,73.4,77,1,4.7,1524315420
San Jose,GT,3590069,16.98,-89.9,67.16,96,32,3.06,1524316934
Phuket,TH,1151254,7.89,98.4,86.0,66,40,4.7,1524315600
Bozoum,CF,2387546,6.31,16.38,88.4,49,48,8.39,1524317214
Sinnamary,GF,3380290,5.38,-52.96,76.52,100,76,7.43,1524317214
Mana,GF,3381041,5.67,-53.78,76.97,94,68,4.03,1524317214
Santa Cruz,CR,3621607,10.26,-85.58,80.6,74,0,6.93,1524315600
Miri,MY,1738050,4.41,114.01,78.8,94,90,3.36,1524315600
Dhidhdhoo,MV,1337612,6.88,73.1,87.14,100,44,6.82,1524317215
Champerico,GT,3598787,14.3,-91.92,75.2,78,20,4.07,1524315600
Balabac,PH,1728675,7.99,117.06,84.53,98,12,11.07,1524317216
Beoumi,CI,2291779,7.67,-5.58,86.0,58,0,6.93,1524312000
Ca Mau,VN,1586443,9.18,105.15,84.08,74,8,8.95,1524317217
Zaraza,VE,3625066,9.35,-65.33,80.39,67,0,5.82,1524317217
Calabozo,VE,3647444,8.92,-67.43,81.11,64,0,12.19,1524317217
Thiruvananthapuram,IN,1254163,8.48,76.92,87.8,79,40,5.82,1524315600
Cantagallo,CO,3687541,7.38,-73.91,80.6,78,20,4.7,1524315600
Sawkta,SL,2404067,8.63,-13.2,86.0,66,20,5.82,1524312000
Kavaratti,IN,1267390,10.57,72.64,86.51,100,20,8.05,1524317218
Bedele,ET,342567,8.46,36.35,76.61,50,100,4.92,1524317218
Gambela,ET,337405,8.25,34.59,80.03,65,64,3.51,1524317219
Jalingo,NG,2351027,10.3,10.93,101.09,28,0,5.64,1524317219
Asosa,ET,343292,10.07,34.53,89.39,29,56,9.84,1524317219
Nicoya,CR,3622716,10.15,-85.45,80.6,74,0,6.93,1524315600
Siocon,PH,1724435,11.03,124.04,82.73,97,76,6.42,1524317219
Hatillo de Loba,CO,3681029,8.96,-74.08,81.47,79,64,1.61,1524317219
Puerto Escondido,CO,3671470,9.0,-76.26,82.4,88,20,6.26,1524315600
Bida,NG,2347209,9.08,6.02,90.92,73,0,7.31,1524317220
Yaring,TH,1604771,6.87,101.37,83.0,71,44,4.92,1524317220
Altagracia de Orituco,VE,3649408,9.86,-66.38,77.33,73,12,7.43,1524317220
Yendi,GH,2293801,9.45,0.0,92.0,64,0,11.9,1524317220
Djougou,BJ,2394560,9.71,1.67,89.6,46,75,5.82,1524315600
Gimbi,ET,335733,8.81,37.79,76.61,33,36,5.08,1524317221
Georgetown,GY,3378644,6.8,-58.16,75.2,100,75,4.7,1524312000
Trincomalee,LK,1226260,8.58,81.23,91.1,49,8,9.17,1524317221
Mantalongon,PH,1701474,10.13,123.58,84.2,74,20,10.29,1524315600
Kissidougou,GN,2419472,9.19,-10.1,89.3,55,0,8.66,1524317222
Batticaloa,LK,1250161,7.71,81.69,87.68,86,20,12.12,1524317282
Bacolod,PH,1729564,10.68,122.95,81.38,78,56,7.05,1524317282
Kyabe,TD,2429344,9.45,18.94,103.97,27,0,4.59,1524317282
Praia,CV,3374333,14.92,-23.51,77.0,50,40,19.46,1524315600
Kilinochchi,LK,1240372,9.4,80.4,88.4,85,0,8.77,1524317282
Ko Samui,TH,1154689,9.54,99.94,86.0,74,20,6.93,1524315600
Jaffna,LK,1242833,9.67,80.01,89.57,95,0,2.62,1524317283
Kapaa,US,5848280,22.08,-159.32,73.4,78,40,14.99,1524315360
